#noise i10 i50 i90
0 81.8853 75.7799 75.8135
1 81.1473 75.3438 75.3774
2 80.9124 74.74 74.7736
3 79.7719 74.1362 74.1697
4 79.4029 74.002 74.0356
5 79.0003 73.5324 73.5659
6 77.7927 72.157 72.1905
7 77.5914 72.4254 72.4589
8 77.4237 72.526 72.4589
9 75.847 70.681 70.7145
10 75.1761 70.6139 70.6474
11 74.8742 70.3791 70.4126
12 74.6058 69.4398 69.4733
13 74.1027 69.5069 69.5404
14 72.9621 68.4334 68.467
15 71.7544 67.7625 67.729
16 71.6874 67.6283 67.6283
17 72.1234 67.2258 67.2258
18 70.4797 66.0517 66.0852
19 69.205 65.5149 65.5485
20 68.9366 65.2801 65.3472
21 69.2385 66.0852 66.1523
22 66.2194 64.4415 64.3744
23 67.0916 64.6763 64.6427
24 65.3137 63.9383 63.9047
25 65.1124 62.63 62.63
26 65.2801 63.2003 63.2338
27 65.582 61.8584 61.8584
28 63.9047 61.6236 61.4559
29 62.8648 60.5837 60.7179
30 63.0661 59.8121 59.376
31 61.7913 59.1412 58.9064
32 61.7578 59.4096 58.8729
33 60.2482 59.2083 59.007
34 58.8729 58.3026 57.9671
35 57.3633 57.9336 55.5854
36 57.0614 56.9943 56.8937
37 58.0007 56.5917 56.7595
38 58.0678 56.055 55.8873
39 55.7866 55.1828 55.0151
40 56.0215 55.5518 55.8202
41 53.2372 53.472 53.6397
42 54.948 54.6796 54.3442
43 55.3841 55.7196 55.7196
44 53.5391 54.3442 53.8074
45 50.9225 52.5998 53.1701
46 51.258 52.5663 52.3985
47 51.4928 52.9017 53.0023
48 48.1382 50.4529 50.218
49 49.0775 49.8826 49.8826
50 50.9561 49.2452 50.0839
51 48.2053 49.4465 49.111
52 51.996 52.6333 51.9289
53 52.0295 53.4384 53.2372
54 51.6605 53.2036 50.151
55 51.7947 52.1302 51.7276
56 54.5455 53.0023 53.0694
57 53.4384 53.2036 53.5055
58 54.3442 55.0151 54.948
59 55.6525 54.7467 54.9815
60 55.8537 55.9544 55.4176
61 55.2835 56.0215 56.1892
62 56.055 54.8809 55.2499
63 58.1013 56.424 55.5183
64 58.9735 58.4703 58.4703
65 59.5102 58.4703 58.5709
