#noise i10 i50 i90
0 81.8517 75.8135 75.8135
1 81.3821 75.3774 75.3774
2 80.8118 74.7736 74.7736
3 79.7048 74.1697 74.1697
4 79.4364 74.0356 74.0356
5 78.9668 73.5659 73.5659
6 78.0275 72.1905 72.1905
7 77.7591 72.4589 72.4589
8 77.4572 72.4589 72.4589
9 76.0483 70.7145 70.7145
10 75.1426 70.6474 70.6474
11 74.8407 70.4126 70.4126
12 74.5723 69.4733 69.4733
13 74.1362 69.5404 69.5404
14 73.264 68.467 68.467
15 72.0564 67.729 67.729
16 71.5196 67.6283 67.6283
17 72.0228 67.2258 67.2258
18 70.4462 66.0852 66.0852
19 69.1714 65.5485 65.5485
20 68.8695 65.3472 65.3472
21 69.4062 66.1523 66.1523
22 66.7897 64.3744 64.3744
23 67.2258 64.6427 64.6427
24 65.8839 63.9047 63.9047
25 65.1795 62.63 62.63
26 65.1124 63.2338 63.2338
27 65.582 61.8584 61.8584
28 64.0725 61.4559 61.4559
29 63.2338 60.7179 60.7179
30 62.2274 59.376 59.376
31 61.8249 58.9064 58.9064
32 61.3217 58.8729 58.8729
33 60.3824 59.007 59.007
34 59.0406 57.9336 57.9336
35 57.8665 56.9943 55.5854
36 57.162 56.9943 56.9943
37 58.638 56.8937 56.8266
38 58.6045 55.9544 55.9544
39 55.7196 54.948 54.948
40 56.1557 55.7531 55.7531
41 54.579 53.5726 53.5391
42 54.4784 54.4784 54.4784
43 55.0486 55.7866 55.7866
44 53.8074 53.7068 53.7739
45 50.9896 53.1701 53.1701
46 51.2244 52.2979 52.2308
47 52.0295 52.9353 52.9017
48 49.8155 50.7883 50.7883
49 49.6813 50.3522 50.5871
50 50.2516 48.742 49.9832
51 49.2452 49.9161 50.5871
52 49.849 50.7548 50.9561
53 53.4049 53.2372 53.2036
54 50.889 52.1972 50.7883
55 51.258 51.6605 51.5263
56 53.8074 53.1701 53.2036
57 53.5055 53.4049 53.4049
58 54.5119 54.9815 54.9815
59 56.2227 55.0486 55.0486
60 55.2164 55.3506 55.317
61 55.1157 56.1892 56.1892
62 56.3905 55.3506 55.317
63 58.5374 56.1892 55.4512
64 59.7451 58.5039 58.5039
65 59.3425 58.5039 58.5039
