#noise i10 i50 i90
0 82.053 75.8135 75.8135
1 81.3821 75.3774 75.3774
2 80.7783 74.7736 74.7736
3 79.5706 74.1697 74.1697
4 79.3022 74.0356 74.0356
5 78.9332 73.5659 73.5659
6 77.9604 72.1905 72.1905
7 77.8262 72.4589 72.4589
8 77.5243 72.4589 72.4589
9 76.1489 70.7145 70.7145
10 75.1426 70.6474 70.6474
11 74.8407 70.4126 70.4126
12 74.4381 69.4733 69.4733
13 74.0691 69.5404 69.5404
14 73.3982 68.467 68.467
15 71.9893 67.729 67.729
16 71.5532 67.6283 67.6283
17 71.9557 67.2258 67.2258
18 70.4462 66.0852 66.0852
19 69.1043 65.5485 65.5485
20 68.9701 65.3472 65.3472
21 69.3056 66.1523 66.1523
22 66.7561 64.3744 64.3744
23 67.1587 64.6427 64.6427
24 65.9175 63.9047 63.9047
25 65.213 62.63 62.63
26 65.1459 63.2338 63.2338
27 65.5485 61.8584 61.8584
28 63.9383 61.4559 61.4559
29 63.3345 60.7179 60.7179
30 62.2945 59.376 59.376
31 61.4894 58.9064 58.9064
32 61.3888 58.8729 58.8729
33 60.1476 59.007 59.007
34 59.1412 57.9336 57.9336
35 57.6317 55.6189 55.5854
36 57.1956 56.9943 56.9943
37 58.269 56.8266 56.8266
38 58.7051 55.9544 55.9544
39 55.5854 54.948 54.948
40 56.1221 55.7531 55.7531
41 54.4784 53.5391 53.5391
42 54.579 54.4784 54.4784
43 55.317 55.7866 55.7866
44 54.21 53.7404 53.7739
45 51.1909 53.1365 53.1701
46 51.3251 52.2643 52.2308
47 52.2308 52.9353 52.9017
48 50.1174 51.3922 50.7883
49 49.7484 50.8554 50.5871
50 50.0839 47.5679 50.0503
51 49.3123 50.4193 50.4529
52 50.3187 50.9896 50.9561
53 53.7404 53.2036 53.2036
54 51.5263 51.996 50.7883
55 51.3586 51.7947 51.5263
56 53.7739 53.1365 53.2036
57 53.6062 53.4049 53.4049
58 54.8474 54.9815 54.9815
59 56.424 55.0486 55.0486
60 55.317 55.317 55.317
61 55.2835 56.1892 56.1892
62 56.2563 55.317 55.317
63 58.5374 55.7866 55.4512
64 59.8457 58.5039 58.5039
65 59.4096 58.5039 58.5039
