#noise c0.1 c0.2 c0.3 c0.4 c0.5
0 83.3948 83.1265 82.5562 82.9587 83.0594
1 83.0258 82.422 82.2207 81.9188 81.7511
2 82.6568 82.4891 81.684 81.6169 81.3821
3 81.9188 82.2543 81.9859 81.8182 81.5498
4 81.4156 81.0466 80.3086 80.4764 79.9732
5 80.3422 80.3422 79.6713 79.4029 79.0003
6 79.9061 79.7719 79.9732 79.4364 79.0674
7 79.1681 79.2687 79.3358 78.9668 79.0339
8 78.8326 78.6649 78.0275 77.692 77.4908
9 78.0275 78.1617 77.0211 75.478 75.2097
10 76.4509 75.8806 75.3774 75.2432 74.4381
11 75.5116 75.7464 75.7464 75.5787 75.3103
12 75.8806 75.478 75.2432 74.7736 73.4317
13 74.9077 74.5052 74.2704 74.0356 73.1969
14 74.5052 74.4717 74.7065 74.2368 73.2976
15 73.8678 73.8343 73.7001 72.2576 71.9893
16 72.2912 72.895 72.9956 72.7944 72.157
17 73.0627 72.5595 71.6874 70.681 70.3455
18 72.2912 72.3247 71.9222 71.2848 70.8152
19 69.8088 70.3455 70.1107 68.4334 66.8903
20 69.205 69.1043 68.7353 67.5277 66.689
21 69.3727 69.9094 68.7353 68.9701 67.2593
22 68.2321 67.9638 67.0245 64.7434 63.8376
23 66.9909 66.8232 67.6283 66.8232 64.475
24 65.951 66.8903 66.8232 65.5485 63.5693
25 65.3137 65.1795 65.8839 64.0054 61.154
26 65.0453 65.2801 65.0788 63.0996 61.2882
27 64.844 65.0788 64.9111 63.9383 61.5565
28 63.0996 63.2674 61.9591 61.4894 60.047
29 64.844 64.9782 63.8041 62.8313 60.5837
30 62.5294 62.63 61.1875 58.7387 58.0007
31 60.3824 61.523 61.7913 60.2818 57.3633
32 61.0198 60.3489 58.8729 57.3298 57.3633
33 58.94 58.5374 59.0406 54.948 54.4113
34 58.1684 58.7051 58.6045 55.9208 55.0486
35 56.9608 56.793 54.6125 53.0023 52.9688
36 56.3569 56.6588 56.3905 53.7739 51.9624
37 56.793 57.9 55.8537 53.4049 52.5998
38 58.7387 58.4703 53.841 51.7276 50.9225
39 55.686 55.2499 53.2707 50.4529 49.9497
40 56.0215 54.6796 54.0087 53.3714 52.8682
41 55.1157 53.2707 51.9624 51.3922 50.7548
42 54.0423 53.4384 53.3043 53.1365 52.5998
43 55.7866 54.21 52.734 50.9225 50.7212
44 53.6397 51.9289 50.0839 49.7149 48.9098
45 52.8011 50.8219 48.742 48.7085 48.4737
46 52.0631 50.2516 48.8762 50.0503 50.0503
47 52.9017 51.8282 51.4257 51.0231 51.6605
48 51.1909 49.8826 49.2788 50.1174 49.5471
49 50.5871 51.0902 51.2244 51.0231 50.3187
50 49.6142 49.0439 48.1718 48.9769 48.6078
51 49.8155 47.5679 46.9977 48.004 47.1989
52 50.4193 49.8826 51.8618 52.4321 52.7004
53 53.2036 51.1909 50.5871 48.5408 48.9098
54 51.5934 48.8762 49.6478 49.9497 50.0839
55 51.5263 51.5599 51.5934 50.4864 50.52
56 54.1765 52.8682 52.4992 53.0023 52.7004
57 53.9081 53.472 52.9688 51.6605 51.5599
58 54.7803 54.7803 52.1302 50.3522 50.2516
59 56.1892 56.1892 53.2036 52.9688 51.4928
60 55.317 54.6796 53.3043 52.2308 51.9289
61 56.5247 55.7531 54.2435 51.6605 51.1909
62 55.1493 56.0215 54.9815 53.3378 52.365
63 56.5917 56.2563 53.9416 52.8346 52.8346
64 59.4096 59.8792 58.269 56.0886 54.9145
65 59.6444 59.007 58.8393 58.0007 57.162
