#noise i0 i1 i2 i3 i4 i5 i6 i7 i8 i9 i10 i11 i12 i13
0 75.8135 75.3103 82.3885 82.0865 82.2207 82.2207 72.3583 79.4364 79.9732 81.1808 82.9587 82.5897 82.8581 82.1872
1 75.3774 75.0419 81.5498 81.3485 81.3485 81.3821 71.6538 78.9668 79.3358 80.208 82.2878 81.9188 82.1201 81.2479
2 74.7736 74.7736 81.1808 80.7447 80.8118 80.8454 71.3854 78.1281 78.5642 79.101 81.6505 81.315 81.5163 80.7447
3 74.1697 73.6666 80.5099 80.2415 80.3422 80.3422 70.9493 77.7256 78.4301 79.2352 81.315 80.9795 81.0466 80.0067
4 74.0356 73.5995 79.8054 79.3022 79.47 79.47 70.312 77.256 77.4237 78.0946 80.4093 80.208 80.5099 79.3358
5 73.5659 73.5659 79.8054 79.6042 79.5371 79.5371 69.7752 77.2224 77.994 79.7383 80.3422 80.2751 80.3757 79.47
6 72.1905 71.8215 78.1617 77.8933 77.8262 77.9604 68.836 75.6793 75.6458 76.3838 78.4636 78.5642 78.6984 77.5243
7 72.4589 72.4589 78.5307 78.363 78.3965 78.4301 69.3391 75.9477 77.3901 78.9332 79.2687 79.4029 79.5706 78.5978
8 72.4589 72.4589 78.1281 77.8262 77.7927 77.8933 68.6347 75.6122 76.3502 76.8534 77.994 78.3965 78.5642 77.7591
9 70.7145 70.4797 76.0483 75.6458 75.6793 75.8135 68.9701 73.3982 73.7336 74.4717 76.1489 76.1154 76.2496 75.5451
10 70.6474 70.5803 74.9077 74.7065 74.7065 74.7065 67.8631 73.4988 74.9748 76.0148 76.0483 76.6857 77.0882 74.7736
11 70.4126 70.4126 75.7799 75.7799 75.7799 75.8135 66.5884 73.8007 74.3039 76.0148 76.3838 76.2831 76.0819 75.7128
12 69.4733 69.4733 74.0691 73.8007 73.8343 73.9014 67.3935 72.3918 72.4925 73.2305 73.7672 74.2704 74.8407 73.7336
13 69.5404 69.5404 74.4717 73.9685 73.9014 74.0691 66.8903 72.6266 73.3311 74.8407 74.9077 75.0755 75.3103 74.2368
14 68.467 68.467 73.4653 73.4988 73.4317 73.3982 65.5149 71.1842 73.4653 74.1362 74.2704 74.5052 74.6058 73.3982
15 67.729 67.5277 72.6937 72.6266 72.6602 72.6937 65.4814 70.6474 70.9493 73.1634 73.2305 73.3646 73.3982 72.5931
16 67.6283 67.6283 72.4254 72.4589 72.5931 72.4925 64.7098 70.8152 71.3183 72.7944 72.8279 72.895 73.264 72.2912
17 67.2258 66.6555 71.6874 71.3183 71.2848 71.4525 65.3472 69.3391 72.3247 72.4589 72.7608 72.9956 72.6266 71.4525
18 66.0852 66.0852 70.3455 70.3455 70.2449 70.1107 64.3744 68.9366 70.2784 71.4861 71.6538 71.6538 71.6538 70.3791
19 65.5485 65.1459 69.8423 69.4733 69.7752 69.7417 62.6971 67.5948 68.9031 69.7752 70.0772 70.2449 70.2449 69.943
20 65.3472 65.3472 69.1379 69.3391 69.1379 69.2721 63.3009 66.9239 69.574 69.2721 68.8695 69.2385 69.5404 68.9366
21 66.1523 65.9846 68.5676 68.3663 68.3328 68.2321 62.8984 68.3328 69.8088 69.8759 69.7752 69.4062 69.574 68.7018
22 64.3744 63.9718 67.2929 67.2929 67.1587 67.0916 62.0933 66.6555 67.4606 67.8296 68.3328 68.3328 67.9302 67.3264
23 64.6427 64.2737 67.058 67.2593 67.1587 67.1587 62.261 66.7561 66.8232 67.6954 68.0309 68.2321 68.098 67.5277
24 63.9047 63.6364 66.4207 66.1858 66.2529 66.1858 61.4894 65.9175 66.0517 66.1188 66.4542 66.6219 66.6555 65.8839
25 62.63 62.63 65.0788 65.213 65.1459 65.1124 60.416 64.5086 64.6427 64.844 65.582 66.1858 66.0517 65.3137
26 63.2338 63.2338 65.2801 65.213 65.1795 65.1795 59.678 64.3408 64.7434 65.4478 66.0852 65.6491 65.5485 65.3137
